infections,diagnosed,susceptible,steps
3.0,11.0,86.0,4146.0
4.0,9.0,87.0,4086.0
2.0,10.0,88.0,4158.0
4.0,8.0,88.0,4344.0
4.0,10.0,86.0,4116.0
5.0,11.0,84.0,4135.0
2.0,9.0,89.0,3979.0
4.0,10.0,86.0,4261.0
7.0,6.0,87.0,4343.0
6.0,11.0,83.0,4321.0
5.0,10.0,85.0,4286.0
7.0,6.0,87.0,4209.0
4.0,10.0,86.0,4083.0
4.0,8.0,88.0,4328.0
1.0,11.0,88.0,4313.0
6.0,7.0,87.0,4284.0
3.0,10.0,87.0,4060.0
8.0,6.0,86.0,4233.0
6.0,10.0,84.0,4276.0
2.0,12.0,86.0,4151.0
8.0,6.0,86.0,4404.0
7.0,8.0,85.0,4220.0
8.0,10.0,82.0,4308.0
7.0,7.0,86.0,4397.0
3.0,11.0,86.0,4192.0
1.0,9.0,90.0,4257.0
9.0,10.0,81.0,4217.0
7.0,10.0,83.0,4123.0
2.0,11.0,87.0,3858.0
3.0,8.0,89.0,4186.0
5.0,10.0,85.0,4280.0
5.0,8.0,87.0,4470.0
6.0,8.0,86.0,4365.0
3.0,9.0,88.0,4250.0
2.0,11.0,87.0,4253.0
7.0,10.0,83.0,4266.0
4.0,9.0,87.0,4225.0
4.0,6.0,90.0,4125.0
3.0,14.0,83.0,4069.0
9.0,10.0,81.0,4093.0
3.0,9.0,88.0,4390.0
8.0,6.0,86.0,4200.0
6.0,8.0,86.0,4293.0
5.0,9.0,86.0,4315.0
6.0,9.0,85.0,4387.0
9.0,9.0,82.0,4323.0
1.0,12.0,87.0,3956.0
2.0,9.0,89.0,4080.0
5.0,9.0,86.0,4201.0
5.0,9.0,86.0,4206.0
6.0,11.0,83.0,4199.0
4.0,8.0,88.0,4279.0
5.0,10.0,85.0,4162.0
4.0,9.0,87.0,4152.0
3.0,12.0,85.0,4054.0
4.0,8.0,88.0,4284.0
8.0,12.0,80.0,4171.0
6.0,8.0,86.0,4115.0
7.0,9.0,84.0,4221.0
6.0,9.0,85.0,4138.0
3.0,13.0,84.0,4265.0
4.0,9.0,87.0,4198.0
11.0,12.0,77.0,4208.0
5.0,9.0,86.0,4128.0
4.0,9.0,87.0,4172.0
2.0,12.0,86.0,3902.0
5.0,6.0,89.0,4357.0
4.0,8.0,88.0,4096.0
4.0,9.0,87.0,4157.0
3.0,13.0,84.0,4171.0
0.0,11.0,89.0,4092.0
7.0,13.0,80.0,4149.0
5.0,9.0,86.0,3982.0
5.0,9.0,86.0,4045.0
4.0,8.0,88.0,4202.0
5.0,7.0,88.0,4125.0
4.0,10.0,86.0,4208.0
4.0,11.0,85.0,4080.0
5.0,9.0,86.0,4342.0
6.0,11.0,83.0,4150.0
7.0,10.0,83.0,4159.0
5.0,9.0,86.0,4265.0
10.0,6.0,84.0,4399.0
4.0,9.0,87.0,4104.0
1.0,9.0,90.0,4028.0
0.0,12.0,88.0,4123.0
5.0,14.0,81.0,4085.0
