S,I,D,R,steps
0.0,28.0,72.0,0.0,3275.0
0.0,18.0,82.0,0.0,2986.0
0.0,22.0,78.0,0.0,2642.0
0.0,17.0,83.0,0.0,3298.0
0.0,21.0,79.0,0.0,2974.0
0.0,21.0,79.0,0.0,3398.0
0.0,19.0,81.0,0.0,3190.0
0.0,23.0,77.0,0.0,3203.0
0.0,21.0,79.0,0.0,2901.0
0.0,18.0,82.0,0.0,3567.0
0.0,21.0,79.0,0.0,3152.0
0.0,21.0,79.0,0.0,2690.0
0.0,17.0,83.0,0.0,3660.0
0.0,25.0,75.0,0.0,4264.0
0.0,22.0,78.0,0.0,3430.0
0.0,24.0,76.0,0.0,2991.0
0.0,18.0,82.0,0.0,3083.0
0.0,30.0,70.0,0.0,4013.0
0.0,23.0,77.0,0.0,3550.0
0.0,26.0,74.0,0.0,3591.0
0.0,18.0,82.0,0.0,3600.0
0.0,18.0,82.0,0.0,3127.0
0.0,26.0,74.0,0.0,2820.0
0.0,20.0,80.0,0.0,3636.0
0.0,27.0,73.0,0.0,2940.0
0.0,22.0,78.0,0.0,3555.0
0.0,19.0,81.0,0.0,2791.0
0.0,23.0,77.0,0.0,3479.0
0.0,27.0,73.0,0.0,2911.0
0.0,21.0,79.0,0.0,3047.0
0.0,24.0,76.0,0.0,3194.0
0.0,28.0,72.0,0.0,3756.0
0.0,20.0,80.0,0.0,3166.0
0.0,30.0,70.0,0.0,3253.0
0.0,21.0,79.0,0.0,4308.0
0.0,28.0,72.0,0.0,3074.0
0.0,21.0,79.0,0.0,3391.0
0.0,17.0,83.0,0.0,3400.0
0.0,21.0,79.0,0.0,3199.0
0.0,19.0,81.0,0.0,4186.0
0.0,22.0,78.0,0.0,3298.0
0.0,15.0,85.0,0.0,3407.0
0.0,20.0,80.0,0.0,3187.0
0.0,20.0,80.0,0.0,3397.0
0.0,27.0,73.0,0.0,3234.0
0.0,29.0,71.0,0.0,3513.0
0.0,32.0,68.0,0.0,3500.0
0.0,22.0,78.0,0.0,3413.0
0.0,18.0,82.0,0.0,3757.0
0.0,26.0,74.0,0.0,3673.0
0.0,22.0,78.0,0.0,3481.0
0.0,27.0,73.0,0.0,2990.0
0.0,30.0,70.0,0.0,2899.0
0.0,29.0,71.0,0.0,2828.0
0.0,26.0,74.0,0.0,3182.0
0.0,19.0,81.0,0.0,3686.0
0.0,31.0,69.0,0.0,2660.0
0.0,28.0,72.0,0.0,3295.0
0.0,23.0,77.0,0.0,3495.0
0.0,18.0,82.0,0.0,4096.0
0.0,22.0,78.0,0.0,3418.0
0.0,21.0,79.0,0.0,3757.0
0.0,26.0,74.0,0.0,3711.0
0.0,26.0,74.0,0.0,3132.0
0.0,24.0,76.0,0.0,3965.0
0.0,21.0,79.0,0.0,3558.0
0.0,24.0,76.0,0.0,3820.0
0.0,20.0,80.0,0.0,3395.0
0.0,23.0,77.0,0.0,2552.0
0.0,22.0,78.0,0.0,3070.0
0.0,19.0,81.0,0.0,2863.0
0.0,21.0,79.0,0.0,3346.0
0.0,19.0,81.0,0.0,3239.0
0.0,28.0,72.0,0.0,3746.0
0.0,27.0,73.0,0.0,3153.0
0.0,24.0,76.0,0.0,3359.0
0.0,25.0,75.0,0.0,3267.0
0.0,20.0,80.0,0.0,3645.0
0.0,25.0,75.0,0.0,2884.0
0.0,20.0,80.0,0.0,3316.0
0.0,23.0,77.0,0.0,3367.0
0.0,26.0,74.0,0.0,2851.0
0.0,23.0,77.0,0.0,3031.0
0.0,28.0,72.0,0.0,3154.0
0.0,19.0,81.0,0.0,3311.0
0.0,20.0,80.0,0.0,3650.0
0.0,21.0,79.0,0.0,3030.0
0.0,30.0,70.0,0.0,3181.0
0.0,21.0,79.0,0.0,3182.0
0.0,18.0,82.0,0.0,3088.0
0.0,21.0,79.0,0.0,3359.0
0.0,26.0,74.0,0.0,3600.0
0.0,24.0,76.0,0.0,3560.0
0.0,21.0,79.0,0.0,2857.0
0.0,26.0,74.0,0.0,2818.0
0.0,24.0,76.0,0.0,3540.0
0.0,21.0,79.0,0.0,3295.0
0.0,29.0,71.0,0.0,3084.0
0.0,22.0,78.0,0.0,3174.0
0.0,17.0,83.0,0.0,3221.0
0.0,21.0,79.0,0.0,3500.0
0.0,22.0,78.0,0.0,2861.0
0.0,20.0,80.0,0.0,3282.0
0.0,27.0,73.0,0.0,3176.0
0.0,23.0,77.0,0.0,3465.0
0.0,21.0,79.0,0.0,3883.0
0.0,21.0,79.0,0.0,3144.0
0.0,26.0,74.0,0.0,3741.0
0.0,22.0,78.0,0.0,3199.0
0.0,25.0,75.0,0.0,3412.0
0.0,24.0,76.0,0.0,3986.0
0.0,24.0,76.0,0.0,3198.0
0.0,25.0,75.0,0.0,3133.0
0.0,22.0,78.0,0.0,3072.0
0.0,25.0,75.0,0.0,3032.0
0.0,22.0,78.0,0.0,3414.0
0.0,21.0,79.0,0.0,3191.0
0.0,25.0,75.0,0.0,2826.0
0.0,28.0,72.0,0.0,3095.0
0.0,23.0,77.0,0.0,3593.0
0.0,27.0,73.0,0.0,3185.0
0.0,21.0,79.0,0.0,3599.0
0.0,20.0,80.0,0.0,2900.0
0.0,27.0,73.0,0.0,3335.0
0.0,20.0,80.0,0.0,3576.0
0.0,21.0,79.0,0.0,2725.0
0.0,27.0,73.0,0.0,3670.0
0.0,24.0,76.0,0.0,3081.0
0.0,23.0,77.0,0.0,2841.0
0.0,25.0,75.0,0.0,3112.0
0.0,19.0,81.0,0.0,3618.0
0.0,23.0,77.0,0.0,3790.0
0.0,21.0,79.0,0.0,3031.0
0.0,20.0,80.0,0.0,3716.0
0.0,23.0,77.0,0.0,3371.0
0.0,32.0,68.0,0.0,2808.0
0.0,22.0,78.0,0.0,3175.0
0.0,19.0,81.0,0.0,3488.0
0.0,28.0,72.0,0.0,4070.0
0.0,28.0,72.0,0.0,3483.0
0.0,26.0,74.0,0.0,3489.0
0.0,27.0,73.0,0.0,2788.0
0.0,20.0,80.0,0.0,2637.0
0.0,25.0,75.0,0.0,3296.0
0.0,30.0,70.0,0.0,3862.0
0.0,22.0,78.0,0.0,3483.0
0.0,22.0,78.0,0.0,3656.0
0.0,19.0,81.0,0.0,3534.0
0.0,26.0,74.0,0.0,2998.0
0.0,26.0,74.0,0.0,3092.0
0.0,23.0,77.0,0.0,3059.0
0.0,25.0,75.0,0.0,3999.0
0.0,20.0,80.0,0.0,3353.0
0.0,16.0,84.0,0.0,3258.0
0.0,27.0,73.0,0.0,3314.0
0.0,19.0,81.0,0.0,3551.0
0.0,18.0,82.0,0.0,3020.0
0.0,21.0,79.0,0.0,3564.0
0.0,27.0,73.0,0.0,2995.0
0.0,29.0,71.0,0.0,3256.0
0.0,24.0,76.0,0.0,3800.0
0.0,28.0,72.0,0.0,3151.0
0.0,21.0,79.0,0.0,4019.0
0.0,17.0,83.0,0.0,2961.0
0.0,21.0,79.0,0.0,3271.0
0.0,21.0,79.0,0.0,3308.0
0.0,23.0,77.0,0.0,3736.0
0.0,20.0,80.0,0.0,3096.0
0.0,26.0,74.0,0.0,3139.0
0.0,22.0,78.0,0.0,3368.0
0.0,23.0,77.0,0.0,3026.0
0.0,26.0,74.0,0.0,2633.0
0.0,21.0,79.0,0.0,3278.0
0.0,23.0,77.0,0.0,3958.0
0.0,26.0,74.0,0.0,4259.0
0.0,26.0,74.0,0.0,3371.0
0.0,24.0,76.0,0.0,3594.0
0.0,25.0,75.0,0.0,3657.0
0.0,24.0,76.0,0.0,3087.0
0.0,29.0,71.0,0.0,3424.0
0.0,21.0,79.0,0.0,3456.0
0.0,26.0,74.0,0.0,3275.0
0.0,22.0,78.0,0.0,2789.0
0.0,28.0,72.0,0.0,2985.0
0.0,19.0,81.0,0.0,3759.0
0.0,16.0,84.0,0.0,3157.0
0.0,21.0,79.0,0.0,4192.0
0.0,24.0,76.0,0.0,3961.0
0.0,26.0,74.0,0.0,3206.0
0.0,26.0,74.0,0.0,3338.0
0.0,19.0,81.0,0.0,3847.0
0.0,22.0,78.0,0.0,2351.0
0.0,17.0,83.0,0.0,3949.0
0.0,25.0,75.0,0.0,3773.0
0.0,32.0,68.0,0.0,4343.0
0.0,17.0,83.0,0.0,3173.0
0.0,23.0,77.0,0.0,3020.0
0.0,21.0,79.0,0.0,2856.0
0.0,23.0,77.0,0.0,4026.0
0.0,19.0,81.0,0.0,3423.0
0.0,18.0,82.0,0.0,3499.0
0.0,28.0,72.0,0.0,3260.0
0.0,25.0,75.0,0.0,3772.0
0.0,19.0,81.0,0.0,3009.0
0.0,23.0,77.0,0.0,2847.0
0.0,23.0,77.0,0.0,3888.0
0.0,15.0,85.0,0.0,3311.0
0.0,23.0,77.0,0.0,3222.0
0.0,23.0,77.0,0.0,3103.0
0.0,20.0,80.0,0.0,3173.0
0.0,18.0,82.0,0.0,3295.0
0.0,20.0,80.0,0.0,3966.0
0.0,26.0,74.0,0.0,3160.0
0.0,20.0,80.0,0.0,3664.0
0.0,26.0,74.0,0.0,3757.0
0.0,18.0,82.0,0.0,3095.0
0.0,24.0,76.0,0.0,3536.0
0.0,18.0,82.0,0.0,2820.0
0.0,25.0,75.0,0.0,3350.0
0.0,21.0,79.0,0.0,3231.0
0.0,22.0,78.0,0.0,3861.0
0.0,25.0,75.0,0.0,2594.0
0.0,19.0,81.0,0.0,3876.0
0.0,18.0,82.0,0.0,2738.0
0.0,27.0,73.0,0.0,3419.0
0.0,24.0,76.0,0.0,3676.0
0.0,23.0,77.0,0.0,2748.0
0.0,21.0,79.0,0.0,3338.0
0.0,25.0,75.0,0.0,4349.0
0.0,23.0,77.0,0.0,3418.0
0.0,23.0,77.0,0.0,3526.0
0.0,25.0,75.0,0.0,3222.0
0.0,20.0,80.0,0.0,3694.0
0.0,17.0,83.0,0.0,2998.0
0.0,30.0,70.0,0.0,4060.0
0.0,18.0,82.0,0.0,2979.0
0.0,26.0,74.0,0.0,3762.0
0.0,28.0,72.0,0.0,3308.0
0.0,25.0,75.0,0.0,3454.0
0.0,21.0,79.0,0.0,3292.0
0.0,21.0,79.0,0.0,2508.0
0.0,27.0,73.0,0.0,2472.0
0.0,17.0,83.0,0.0,3271.0
0.0,21.0,79.0,0.0,3032.0
0.0,25.0,75.0,0.0,3363.0
0.0,25.0,75.0,0.0,3362.0
0.0,28.0,72.0,0.0,3787.0
0.0,24.0,76.0,0.0,3546.0
0.0,18.0,82.0,0.0,4079.0
0.0,22.0,78.0,0.0,3847.0
0.0,22.0,78.0,0.0,3736.0
0.0,18.0,82.0,0.0,3544.0
0.0,20.0,80.0,0.0,3205.0
0.0,25.0,75.0,0.0,2957.0
0.0,31.0,69.0,0.0,3565.0
0.0,26.0,74.0,0.0,3200.0
0.0,25.0,75.0,0.0,2816.0
0.0,22.0,78.0,0.0,3554.0
0.0,30.0,70.0,0.0,3454.0
0.0,29.0,71.0,0.0,3867.0
0.0,17.0,83.0,0.0,3358.0
0.0,29.0,71.0,0.0,3618.0
0.0,26.0,74.0,0.0,3952.0
0.0,23.0,77.0,0.0,3111.0
0.0,23.0,77.0,0.0,3223.0
0.0,28.0,72.0,0.0,3443.0
0.0,21.0,79.0,0.0,4018.0
0.0,28.0,72.0,0.0,4172.0
0.0,31.0,69.0,0.0,3505.0
0.0,28.0,72.0,0.0,4107.0
0.0,23.0,77.0,0.0,3082.0
0.0,23.0,77.0,0.0,3477.0
0.0,18.0,82.0,0.0,3730.0
0.0,27.0,73.0,0.0,4034.0
0.0,24.0,76.0,0.0,3380.0
0.0,20.0,80.0,0.0,3236.0
0.0,20.0,80.0,0.0,3524.0
0.0,22.0,78.0,0.0,3386.0
0.0,17.0,83.0,0.0,3135.0
0.0,20.0,80.0,0.0,3290.0
0.0,24.0,76.0,0.0,3230.0
0.0,16.0,84.0,0.0,3750.0
0.0,20.0,80.0,0.0,3314.0
0.0,28.0,72.0,0.0,3679.0
0.0,21.0,79.0,0.0,2501.0
0.0,23.0,77.0,0.0,2930.0
0.0,28.0,72.0,0.0,3698.0
0.0,20.0,80.0,0.0,3279.0
0.0,29.0,71.0,0.0,3547.0
0.0,18.0,82.0,0.0,3248.0
0.0,21.0,79.0,0.0,4431.0
0.0,25.0,75.0,0.0,3779.0
0.0,28.0,72.0,0.0,3903.0
0.0,24.0,76.0,0.0,3696.0
0.0,22.0,78.0,0.0,2716.0
0.0,24.0,76.0,0.0,3608.0
0.0,16.0,84.0,0.0,4778.0
0.0,22.0,78.0,0.0,3223.0
0.0,20.0,80.0,0.0,2744.0
0.0,25.0,75.0,0.0,2633.0
0.0,23.0,77.0,0.0,2998.0
0.0,17.0,83.0,0.0,2980.0
0.0,22.0,78.0,0.0,3970.0
0.0,22.0,78.0,0.0,3868.0
0.0,22.0,78.0,0.0,2952.0
0.0,20.0,80.0,0.0,2993.0
0.0,26.0,74.0,0.0,4089.0
0.0,21.0,79.0,0.0,3668.0
0.0,30.0,70.0,0.0,3456.0
0.0,16.0,84.0,0.0,3188.0
0.0,23.0,77.0,0.0,3633.0
0.0,26.0,74.0,0.0,3068.0
0.0,23.0,77.0,0.0,3108.0
0.0,26.0,74.0,0.0,3367.0
0.0,23.0,77.0,0.0,3283.0
0.0,22.0,78.0,0.0,4028.0
0.0,28.0,72.0,0.0,3548.0
0.0,25.0,75.0,0.0,2665.0
0.0,20.0,80.0,0.0,2700.0
0.0,21.0,79.0,0.0,2871.0
0.0,20.0,80.0,0.0,3099.0
0.0,25.0,75.0,0.0,2817.0
0.0,25.0,75.0,0.0,3565.0
0.0,20.0,80.0,0.0,3452.0
0.0,25.0,75.0,0.0,3213.0
0.0,19.0,81.0,0.0,3970.0
0.0,20.0,80.0,0.0,3427.0
0.0,23.0,77.0,0.0,3420.0
0.0,26.0,74.0,0.0,3476.0
0.0,25.0,75.0,0.0,3459.0
0.0,25.0,75.0,0.0,2645.0
0.0,18.0,82.0,0.0,3369.0
0.0,25.0,75.0,0.0,3117.0
0.0,12.0,88.0,0.0,3098.0
0.0,26.0,74.0,0.0,2927.0
0.0,16.0,84.0,0.0,3541.0
0.0,25.0,75.0,0.0,3194.0
0.0,24.0,76.0,0.0,3345.0
0.0,19.0,81.0,0.0,3150.0
0.0,18.0,82.0,0.0,3596.0
0.0,21.0,79.0,0.0,4101.0
0.0,24.0,76.0,0.0,3977.0
0.0,21.0,79.0,0.0,3490.0
0.0,24.0,76.0,0.0,3276.0
0.0,22.0,78.0,0.0,2955.0
0.0,21.0,79.0,0.0,3049.0
0.0,21.0,79.0,0.0,3371.0
