S,I,D,R,steps
83.0,7.0,10.0,0.0,19.0
64.0,15.0,21.0,0.0,49.0
73.0,8.0,19.0,0.0,39.0
79.0,11.0,10.0,0.0,22.0
76.0,8.0,16.0,0.0,32.0
83.0,4.0,13.0,0.0,21.0
85.0,6.0,9.0,0.0,14.0
84.0,3.0,13.0,0.0,19.0
82.0,5.0,13.0,0.0,22.0
85.0,8.0,7.0,0.0,13.0
83.0,4.0,13.0,0.0,24.0
81.0,2.0,17.0,0.0,28.0
82.0,5.0,13.0,0.0,21.0
81.0,10.0,9.0,0.0,20.0
80.0,9.0,11.0,0.0,23.0
89.0,4.0,7.0,0.0,8.0
82.0,6.0,12.0,0.0,20.0
81.0,7.0,12.0,0.0,24.0
83.0,7.0,10.0,0.0,18.0
83.0,3.0,14.0,0.0,23.0
75.0,11.0,14.0,0.0,32.0
84.0,5.0,11.0,0.0,19.0
75.0,14.0,11.0,0.0,26.0
86.0,1.0,13.0,0.0,18.0
80.0,5.0,15.0,0.0,25.0
77.0,8.0,15.0,0.0,28.0
78.0,4.0,18.0,0.0,30.0
84.0,5.0,11.0,0.0,18.0
83.0,7.0,10.0,0.0,18.0
84.0,6.0,10.0,0.0,17.0
79.0,6.0,15.0,0.0,27.0
81.0,6.0,13.0,0.0,23.0
83.0,2.0,15.0,0.0,23.0
82.0,5.0,13.0,0.0,23.0
85.0,3.0,12.0,0.0,19.0
81.0,7.0,12.0,0.0,22.0
78.0,8.0,14.0,0.0,27.0
80.0,7.0,13.0,0.0,23.0
86.0,4.0,10.0,0.0,15.0
82.0,7.0,11.0,0.0,19.0
77.0,7.0,16.0,0.0,31.0
88.0,5.0,7.0,0.0,9.0
76.0,9.0,15.0,0.0,32.0
77.0,8.0,15.0,0.0,28.0
77.0,11.0,12.0,0.0,26.0
78.0,9.0,13.0,0.0,29.0
73.0,11.0,16.0,0.0,34.0
71.0,11.0,18.0,0.0,39.0
75.0,9.0,16.0,0.0,31.0
81.0,4.0,15.0,0.0,25.0
77.0,10.0,13.0,0.0,26.0
86.0,6.0,8.0,0.0,13.0
80.0,11.0,9.0,0.0,19.0
80.0,8.0,12.0,0.0,23.0
77.0,9.0,14.0,0.0,28.0
80.0,6.0,14.0,0.0,26.0
