infections,diagnosed,susceptible,steps
37.0,46.0,17.0,8906.0
37.0,47.0,16.0,8540.0
41.0,44.0,15.0,9167.0
42.0,36.0,22.0,9235.0
30.0,51.0,19.0,8877.0
41.0,48.0,11.0,8909.0
39.0,43.0,18.0,9174.0
28.0,53.0,19.0,8446.0
41.0,35.0,24.0,9492.0
34.0,44.0,22.0,9493.0
37.0,46.0,17.0,9654.0
40.0,48.0,12.0,9058.0
39.0,35.0,26.0,9630.0
41.0,45.0,14.0,9061.0
42.0,37.0,21.0,9639.0
40.0,46.0,14.0,9039.0
37.0,48.0,15.0,9028.0
40.0,43.0,17.0,9175.0
41.0,38.0,21.0,8977.0
49.0,35.0,16.0,9703.0
41.0,40.0,19.0,9589.0
43.0,36.0,21.0,9864.0
38.0,46.0,16.0,9212.0
34.0,52.0,14.0,9144.0
39.0,49.0,12.0,8867.0
36.0,45.0,19.0,9255.0
46.0,42.0,12.0,9322.0
34.0,51.0,15.0,9355.0
39.0,44.0,17.0,8916.0
37.0,40.0,23.0,9040.0
29.0,55.0,16.0,8953.0
38.0,49.0,13.0,8798.0
35.0,58.0,7.0,8590.0
39.0,32.0,29.0,9623.0
36.0,40.0,24.0,9590.0
35.0,48.0,17.0,9025.0
40.0,45.0,15.0,9016.0
36.0,48.0,16.0,8782.0
39.0,43.0,18.0,9672.0
37.0,49.0,14.0,8993.0
37.0,44.0,19.0,8840.0
37.0,47.0,16.0,9176.0
38.0,46.0,16.0,8584.0
38.0,41.0,21.0,9419.0
31.0,51.0,18.0,8822.0
47.0,39.0,14.0,9378.0
37.0,41.0,22.0,9537.0
42.0,43.0,15.0,9318.0
33.0,49.0,18.0,8643.0
36.0,51.0,13.0,9175.0
43.0,46.0,11.0,9447.0
40.0,47.0,13.0,8597.0
39.0,43.0,18.0,9137.0
36.0,44.0,20.0,9373.0
38.0,45.0,17.0,9361.0
34.0,45.0,21.0,9569.0
40.0,51.0,9.0,8960.0
51.0,42.0,7.0,8978.0
44.0,40.0,16.0,9293.0
48.0,37.0,15.0,9713.0
38.0,46.0,16.0,9129.0
39.0,50.0,11.0,8622.0
37.0,51.0,12.0,8893.0
38.0,44.0,18.0,9139.0
40.0,39.0,21.0,9046.0
38.0,41.0,21.0,9421.0
35.0,50.0,15.0,9053.0
40.0,48.0,12.0,9050.0
38.0,45.0,17.0,8867.0
37.0,47.0,16.0,8582.0
37.0,45.0,18.0,9035.0
44.0,43.0,13.0,9001.0
40.0,47.0,13.0,8910.0
35.0,44.0,21.0,9157.0
42.0,41.0,17.0,9279.0
32.0,44.0,24.0,9177.0
42.0,44.0,14.0,8879.0
36.0,47.0,17.0,9103.0
34.0,55.0,11.0,8805.0
40.0,38.0,22.0,9833.0
35.0,46.0,19.0,9060.0
35.0,45.0,20.0,8933.0
34.0,50.0,16.0,8855.0
38.0,49.0,13.0,9399.0
35.0,52.0,13.0,8634.0
35.0,47.0,18.0,9349.0
46.0,44.0,10.0,9042.0
41.0,38.0,21.0,9330.0
35.0,49.0,16.0,9300.0
38.0,40.0,22.0,9494.0
42.0,35.0,23.0,9567.0
39.0,45.0,16.0,9394.0
40.0,40.0,20.0,9112.0
39.0,43.0,18.0,9111.0
38.0,49.0,13.0,9510.0
33.0,55.0,12.0,8965.0
33.0,50.0,17.0,9149.0
43.0,47.0,10.0,9253.0
33.0,49.0,18.0,8984.0
41.0,39.0,20.0,9203.0
37.0,50.0,13.0,9118.0
35.0,47.0,18.0,8743.0
38.0,49.0,13.0,8681.0
31.0,53.0,16.0,8805.0
42.0,38.0,20.0,9261.0
33.0,44.0,23.0,9338.0
35.0,54.0,11.0,8622.0
40.0,54.0,6.0,8724.0
37.0,50.0,13.0,8997.0
36.0,49.0,15.0,8750.0
45.0,39.0,16.0,9070.0
40.0,46.0,14.0,9407.0
35.0,50.0,15.0,8924.0
27.0,43.0,30.0,9458.0
41.0,47.0,12.0,9209.0
33.0,49.0,18.0,8740.0
36.0,50.0,14.0,8746.0
39.0,41.0,20.0,9147.0
37.0,52.0,11.0,9123.0
43.0,45.0,12.0,9022.0
45.0,41.0,14.0,9390.0
36.0,46.0,18.0,9416.0
46.0,39.0,15.0,9442.0
39.0,45.0,16.0,9359.0
38.0,46.0,16.0,8883.0
45.0,41.0,14.0,9433.0
44.0,35.0,21.0,9494.0
36.0,54.0,10.0,8914.0
43.0,39.0,18.0,9273.0
36.0,51.0,13.0,8711.0
36.0,47.0,17.0,9382.0
42.0,43.0,15.0,9103.0
27.0,51.0,22.0,8710.0
45.0,48.0,7.0,9164.0
32.0,41.0,27.0,9021.0
38.0,53.0,9.0,8683.0
40.0,43.0,17.0,9219.0
29.0,48.0,23.0,8925.0
45.0,45.0,10.0,9019.0
35.0,48.0,17.0,8746.0
37.0,47.0,16.0,8891.0
41.0,42.0,17.0,9341.0
35.0,51.0,14.0,8727.0
42.0,33.0,25.0,9539.0
35.0,49.0,16.0,8999.0
38.0,42.0,20.0,9168.0
40.0,48.0,12.0,8826.0
36.0,46.0,18.0,8643.0
35.0,50.0,15.0,8722.0
31.0,49.0,20.0,8892.0
32.0,46.0,22.0,8857.0
41.0,47.0,12.0,9265.0
38.0,44.0,18.0,9299.0
35.0,49.0,16.0,8766.0
37.0,36.0,27.0,9560.0
30.0,53.0,17.0,8379.0
34.0,41.0,25.0,8979.0
42.0,40.0,18.0,9404.0
42.0,42.0,16.0,9870.0
43.0,43.0,14.0,9471.0
40.0,38.0,22.0,9297.0
43.0,43.0,14.0,9164.0
38.0,49.0,13.0,8824.0
39.0,48.0,13.0,8999.0
39.0,44.0,17.0,9366.0
44.0,35.0,21.0,9684.0
33.0,51.0,16.0,8650.0
24.0,59.0,17.0,8652.0
41.0,50.0,9.0,8695.0
41.0,33.0,26.0,9270.0
35.0,45.0,20.0,9014.0
32.0,55.0,13.0,8919.0
38.0,38.0,24.0,9471.0
35.0,46.0,19.0,8596.0
37.0,49.0,14.0,8560.0
37.0,40.0,23.0,9493.0
36.0,43.0,21.0,9039.0
58.0,37.0,5.0,9634.0
36.0,52.0,12.0,9214.0
30.0,46.0,24.0,8995.0
25.0,52.0,23.0,8235.0
35.0,49.0,16.0,8968.0
40.0,43.0,17.0,9220.0
41.0,39.0,20.0,9588.0
43.0,44.0,13.0,8974.0
42.0,38.0,20.0,9518.0
41.0,44.0,15.0,8971.0
42.0,39.0,19.0,9696.0
28.0,54.0,18.0,8875.0
42.0,46.0,12.0,9292.0
31.0,37.0,32.0,9460.0
34.0,48.0,18.0,8739.0
43.0,35.0,22.0,9562.0
34.0,49.0,17.0,8813.0
39.0,43.0,18.0,9229.0
38.0,40.0,22.0,9190.0
47.0,28.0,25.0,10319.0
29.0,56.0,15.0,8951.0
38.0,48.0,14.0,9048.0
34.0,42.0,24.0,9479.0
36.0,48.0,16.0,8968.0
39.0,41.0,20.0,9431.0
51.0,36.0,13.0,9316.0
